Tree	Name	Scaling	Dmg @1k CP	Capturing:	Dmg	Combat Power	World Dom	Dmg Signets	CD	Note
	Go for the Throat	2.30011	2300		2317	968.6	1%	3%	25	AD, impair
	Go for the Throat Afflict	0.23031	230		232	968.6	1%	3%		10s
	Wild at Heart @1	1.16842	1168		1177	968.6	1%	3%		
	Wild at Heart @5	2.22367	2224		2240	968.6	1%	3%		
	One-Two 1st	0.32164	322		324	968.6	1%	3%		Burst
	One-Two @1	0.84678	847		853	968.6	1%	3%		
	One-Two @5	1.90104	1901		1915	968.6	1%	3%		(passive + 25%)
	Tear Em Up @1	1.09794	1098		1106	968.6	1%	3%		10% dmg for 4s
	Tear Em Up @5	2.08965	2090		2105	968.6	1%	3%		
	See Red	0.43282	433		436	968.6	1%	3%	25	20x over 4s, AD, MAGIC, BUG! AD does not work
	Gore	2.30011	2300		2317	968.6	1%	3%	20	RANGED
	Gore Afflict	0.45962	460		463	968.6	1%	3%		refresh on non-glance
	Fired Up	3.26812	3268		2706	819.8	1%	0%	20	
	Inner Spark @1	0.10507	105		87	819.8	1%	0%		with passive
	Inner Spark @5	0.21015	210		174	819.8	1%	0%		
										
Blood	Active									
	Boiling Blood	0.64427	644		649	968.6	1%	3%		
	Blood Spike	1.17338	1173		1182	968.6	1%	3%		1.5s, 2 res
	Blood Spike Afflict	0.10622	106		107	968.6	1%	3%		10x in 5s
	Blood Spike Hit	2.50064	2501		2519	968.6	1%	3%		if afflicted, instead
	Cardiac Arrest	4.60022	4600		4634	968.6	1%	3%	25	AD, impair, MELEE
	Exsanguinate	0.81501	815		821	968.6	1%	3%		5x over 2.5s, focus
	Bloodline	0.15486	155		156	968.6	1%	3%		4x, focus
	Bloodshot	1.72037	1720		1733	968.6	1%	3%		
	Plague	0.86465	865		871	968.6	1%	3%	20	1.5s, 6x over 12s, RANGED
	Passive									
	Gross Anatomy	0.27597	276		278	968.6	1%	3%		:(
	Arterial Pulse	0.18365	184		185	968.6	1%	3%		
										
Chaos	Active									
	Hand of Change	0.64427	644		649	968.6	1%	3%		entropy
	Call for Eris 1st	0.92024	920		927	968.6	1%	3%		burst (res x)
	Call for Eris @1	0.28987	290		292	968.6	1%	3%		
	Call for Eris @5	0.31270	313		315	968.6	1%	3%		
	Schism @1	1.11183	1112		1120	968.6	1%	3%		
	Schism @5	2.20282	2203		2219	968.6	1%	3%		
	Schism @1 low	1.37590	1376		1386	968.6	1%	3%		<35%
	Schism @5 low	2.72399	2724		2744	968.6	1%	3%		
	Domino Effect	3.91028	3910		3939	968.6	1%	3%	25	
	Paradox	1.14956	1150		1158	968.6	1%	3%	10	
	Four Horsemen @1	0.27796	278		280	968.6	1%	3%		4x burst
	Four Horsemen @5	0.44870	449		452	968.6	1%	3%		??? seems a bit low
	Pulling the Strings @1	1.14956	1150		1158	968.6	1%	3%		
	Pulling the Strings @5	2.32195	2322		2339	968.6	1%	3%		
	Prisoner of Fate	2.01520	2015		2030	968.6	1%	3%	20	5x over 5s, AD
	Prisoner of Fate low	2.85702	2857		2878	968.6	1%	3%	20	
	Eye of Pandemonium	3.67997	3680		3707	968.6	1%	3%	25	AD, impair, hindered
	Eye of Pandemonium 2ndary	0.18365	184		185	968.6	1%	3%		10x over 10s
	Run Rampant	0.20648	206		208	968.6	1%	3%		3x burst
	Suffering and Solace @1	1.19621	1196		1205	968.6	1%	3%		
	Suffering and Solace @5	2.36860	2369		2386	968.6	1%	3%		
	Gravitational Anomaly	2.33684	2337		2354	968.6	1%	3%	25	3x over 3s, impair
	Passive									
	Gnosis	0.27895	279		281	968.6	1%	3%		33% on weakened (MULTHIT TEST -> seems to be per hit but at most once per sec)
	From the Abyss	0.66214	662		667	968.6	1%	3%		every 3 hits (MULTIHIT TEST -> once per ability)
	Calamity	0.47749	477		481	968.6	1%	3%		15% (MULTIHIT TEST!)
										
Elemental	Active									
	Shock	0.64427	644		649	968.6	1%	3%		
	Combust	2.27926	2279		2296	968.6	1%	3%		1 res if hindered, 1.5s unless passive
	Molten Earth	4.60022	4600		4634	968.6	1%	3%		AD, hindered
	Thor's Hammer	3.39308	3393		3418	968.6	1%	3%		2s, strike
	Electrical Bolt	0.64427	644		649	968.6	1%	3%		2 res if hindered enemy
	Flame Strike	1.67768	1678		1690	968.6	1%	3%		2 res, strike
	Blaze	2.66940	2669		2689	968.6	1%	3%		3 res, 1.5s
	Power Line	0.18365	184		185	968.6	1%	3%	20	10x over 10s, RANGED
	Power Line Detonation	2.99004	2990		3012	968.6	1%	3%		up to x3 (or x2?)
	Whiteout	0.33156	332		334	968.6	1%	3%	25	16x over 8s
	Hard Reset	4.63695	4637		4671	968.6	1%	3%	35	2s, crit, AD
	Ignition	0.64427	644		649	968.6	1%	3%		strike
	Fire Manifestation	0.67107	671		676	968.6	1%	3%	10	2 res, 4x over 10s
	Overload	0.56088	561		565	968.6	1%	3%	20	2x + final over 3s, MELEE
	Overload final	5.60285	5603		5644	968.6	1%	3%		
	Passive									
	Live Wire	1.10389	1104		1112	968.6	1%	3%		next hit after crit
	Elemental Overload	0.13600	136		137	968.6	1%	3%		33% chance
										
Aux	Active									
	Timber	2.99004	2990		3012	968.6	1%	3%		without augur!
	The Carver's Art	0.16082	161		162	968.6	1%	3%		15x over 3s
	Scorched Earth	0.24962	250		250	963	1%	3%	25	.5s casttime, 20x over 6s
	Incendiary Expertise	0.11383	114		114	963	1%	3%		7x over 7s, +10% each sec (flamethrower passive)
										
Anima Deviations										
	Anima Deviation	0.74089	741		-	-				Averaged
